t_ms,V_mV,m,h,n,Iinj_uAcm2,INa_uAcm2,IK_uAcm2,IL_uAcm2
1.5,-64.99533272,0.05295792111,0.5961058991,0.3176867373,0,-1.221736826,4.401989136,-3.182499815
1.51,-64.9953103,0.05295807704,0.5961057245,0.3176868506,0,-1.221747022,4.402003634,-3.182493089
1.52,-64.99528799,0.05295823229,0.5961055492,0.3176869643,0,-1.221757171,4.402018116,-3.182486396
1.53,-64.99526579,0.05295838687,0.5961053731,0.3176870784,0,-1.221767273,4.402032579,-3.182479736
1.54,-64.9952437,0.05295854078,0.5961051964,0.3176871929,0,-1.221777328,4.402047026,-3.18247311
1.55,-64.99522172,0.05295869401,0.596105019,0.3176873078,0,-1.221787336,4.402061454,-3.182466516
1.56,-64.99519985,0.05295884657,0.5961048409,0.3176874231,0,-1.221797297,4.402075865,-3.182459955
1.57,-64.99517809,0.05295899845,0.5961046621,0.3176875388,0,-1.221807212,4.402090258,-3.182453428
1.58,-64.99515644,0.05295914965,0.5961044826,0.3176876549,0,-1.221817079,4.402104632,-3.182446933
1.59,-64.9951349,0.05295930018,0.5961043024,0.3176877714,0,-1.221826899,4.402118988,-3.182440471
1.6,-64.99511348,0.05295945003,0.5961041216,0.3176878883,0,-1.221836673,4.402133325,-3.182434043
1.61,-64.99509216,0.0529595992,0.5961039401,0.3176880056,0,-1.221846399,4.402147643,-3.182427647
1.62,-64.99507095,0.0529597477,0.5961037579,0.3176881233,0,-1.221856078,4.402161942,-3.182421284
1.63,-64.99504985,0.05295989551,0.5961035751,0.3176882413,0,-1.22186571,4.402176222,-3.182414954
1.64,-64.99502886,0.05296004265,0.5961033917,0.3176883597,0,-1.221875295,4.402190482,-3.182408658
1.65,-64.99500798,0.05296018911,0.5961032076,0.3176884785,0,-1.221884833,4.402204723,-3.182402394
1.66,-64.99498721,0.05296033489,0.5961030228,0.3176885977,0,-1.221894324,4.402218943,-3.182396162
1.67,-64.99496655,0.05296047999,0.5961028375,0.3176887172,0,-1.221903768,4.402233144,-3.182389964
1.68,-64.994946,0.05296062441,0.5961026515,0.317688837,0,-1.221913164,4.402247325,-3.182383799
1.69,-64.99492555,0.05296076815,0.5961024648,0.3176889573,0,-1.221922514,4.402261485,-3.182377666
1.7,-64.99490522,0.05296091121,0.5961022776,0.3176890779,0,-1.221931816,4.402275625,-3.182371567
1.71,-64.994885,0.0529610536,0.5961020897,0.3176891988,0,-1.221941072,4.402289743,-3.1823655
1.72,-64.99486489,0.0529611953,0.5961019013,0.3176893201,0,-1.22195028,4.402303841,-3.182359466
1.73,-64.99484488,0.05296133632,0.5961017122,0.3176894417,0,-1.221959441,4.402317918,-3.182353464
1.74,-64.99482499,0.05296147666,0.5961015225,0.3176895636,0,-1.221968555,4.402331973,-3.182347496
1.75,-64.9948052,0.05296161632,0.5961013323,0.3176896859,0,-1.221977622,4.402346007,-3.18234156
1.76,-64.99478552,0.0529617553,0.5961011414,0.3176898085,0,-1.221986642,4.40236002,-3.182335657
